color,total_cats
"Brown Tabby",10700
Black,8989
Black/White,6242
"Brown Tabby/White",5465
"Orange Tabby",5149
Tortie,3187
Calico,2987
"Blue Tabby",2814
"Orange Tabby/White",2573
Blue,2566
Torbie,2156
Blue/White,1782
"Cream Tabby",1305
"Blue Tabby/White",1285
White/Black,1171
"Lynx Point",905
"White/Brown Tabby",728
White,649
"Seal Point",598
"Cream Tabby/White",577
"Gray Tabby",482
"Flame Point",444
Torbie/White,431
White/Blue,425
"Black Tabby",279
"White/Orange Tabby",264
"Gray Tabby/White",228
"Black Smoke",226
Orange,226
Calico/White,226
Orange/White,224
Gray,197
"Lilac Point",184
"Tortie Point",183
White/Gray,178
Gray/White,166
Tortie/White,162
"Silver Tabby",142
"White/Blue Tabby",132
White/Orange,122
"Lynx Point/White",114
"Blue Point",112
Cream,111
Black/Black,107
"Brown Tabby/Black",99
"Black Tabby/White",96
"Seal Point/White",93
"Chocolate Point",92
"Blue Cream",89
White/Brown,70
"Calico Point",69
"White/Cream Tabby",59
"Silver Tabby/White",52
"Black Smoke/White",52
Cream/White,50
Brown,48
"White/Gray Tabby",41
White/Calico,41
Brown/White,40
White/Cream,37
Tortie/Black,36
"Gray Tabby/Black",31
Buff,30
"Silver Lynx Point",30
Chocolate,26
White/Tan,26
"Blue Point/White",25
Brown/Black,23
"Lilac Point/White",22
Agouti,21
Calico/Black,19
"Chocolate Point/White",19
"Blue Smoke",18
"White/Black Tabby",18
Gray/Black,18
"Brown Tiger",17
Silver,17
Black/Gray,17
"Tortie/Blue Cream",16
"Calico/Brown Tabby",16
"Brown Tabby/Orange",15
White/White,14
"Tortie Point/White",14
Black/Brown,13
Gray/Gray,13
"Brown Tabby/Gray",12
"Blue Tabby/Cream",10
Black/Orange,10
"Brown Tabby/Brown",10
"Flame Point/White",10
"Calico Point/White",10
Buff/White,10
Cream/Brown,9
Calico/Orange,9
"Brown Tiger/White",9
Chocolate/White,9
"Brown Tabby/Cream",9
"Black Smoke/Black Tabby",8
"White/Silver Tabby",8
"White/Seal Point",8
Tan,7
Blue/Blue,7
Calico/Calico,7
"Blue Cream/White",6
Tortie/Orange,6
"Orange Tabby/Brown",6
"Brown Tabby/Tortie",6
"Orange Tiger",6
Calico/Tricolor,6
"Torbie/Brown Tabby",6
"Brown Tabby/Brown Tabby",6
Blue/Tortie,6
"Orange Tabby/Cream",6
"White/Lynx Point",6
White/Tricolor,5
"Black/Black Smoke",5
Torbie/Orange,5
Torbie/Brown,5
Tortie/Blue,5
"Orange Tabby/Orange Tabby",5
Gray/Tortie,5
"White/Brown Brindle",5
Tan/Brown,4
Tricolor,4
White/Chocolate,4
"Blue Smoke/White",4
Tortie/Tortie,4
Torbie/Gray,4
Calico/Gray,4
"Gray Tabby/Brown",4
Tortie/Gray,4
"Blue Tabby/Black",4
Calico/Brown,4
"Black/Brown Tabby",4
"Black/Gray Tabby",4
"Blue Tabby/Blue Cream",4
White/Buff,4
"Torbie/Blue Cream",4
"Cream/Seal Point",4
"Chocolate/Black Smoke",4
"Brown Tabby/Silver",4
"Orange Tabby/Orange",4
"Lynx Point/Tortie Point",4
"Seal Point/Brown",3
Brown/Gray,3
"White/Flame Point",3
Black/Chocolate,3
Yellow/Orange,3
"Blue Cream/Tortie",3
"Lynx Point/Cream",3
Black/Silver,3
Gray/Brown,3
Tan/White,3
"Brown Tabby/Calico",3
"White/Tortie Point",3
Agouti/White,3
"Brown/Brown Tabby",3
"Black Tabby/Brown",3
"Black Tabby/Gray",3
"Torbie/Blue Tabby",3
Blue/Orange,3
"Brown Tabby/Agouti",3
"Black/Black Tabby",3
Torbie/Black,3
Black/Tortie,3
"Silver Lynx Point/White",3
"White/Lilac Point",3
"Brown Tabby/Orange Tabby",3
"Gray/Gray Tabby",3
"Calico/Blue Cream",3
"Chocolate/Brown Tabby",3
White/Red,3
Cream/Orange,3
"Flame Point/Cream",3
"White/Chocolate Point",3
"Orange/Orange Tabby",2
"Lilac Point/Cream",2
White/Tortie,2
Fawn,2
"Tortie/Black Smoke",2
White/Yellow,2
Yellow/Cream,2
Red,2
"Brown Tabby/Red",2
Tortie/Brown,2
"Brown Tabby/Gray Tabby",2
White/Silver,2
"Chocolate/Seal Point",2
Tricolor/White,2
Blue/Gray,2
"Torbie/Silver Tabby",2
"Agouti/Brown Tabby",2
"Blue Tabby/Brown",2
Apricot,2
"Black Tiger/White",2
"Brown Merle",2
"White/Calico Point",2
"Brown Tabby/Tan",2
"Blue Tabby/Brown Tabby",2
"Calico/Gray Tabby",2
"Blue Point/Cream",2
Tricolor/Orange,2
"Black Brindle",2
"Brown Brindle",2
"Yellow/Orange Tabby",2
"Black Tiger",2
Black/Blue,2
"Lynx Point/Tan",2
"Blue Cream/Blue Tabby",2
"Lilac Point/Gray",2
Tortie/Calico,2
Blue/Cream,2
"Calico/Orange Tabby",2
"Calico/Blue Tabby",2
"White/Black Smoke",2
Pink,2
"Tortie Point/Lynx Point",2
"Cream/Blue Point",2
"Silver Lynx Point/Gray",2
"Silver Lynx Point/Cream",2
"Seal Point/Cream",2
"Lynx Point/Gray",2
"Gray Tabby/Gray",2
Cream/Gray,2
"Calico Point/Gray",2
Gray/Orange,1
Apricot/White,1
"Seal Point/Buff",1
Tricolor/Calico,1
Blue/Brown,1
Blue/Calico,1
Brown/Brown,1
Fawn/White,1
"Cream Tiger",1
Gray/Calico,1
"Red/Orange Tabby",1
Tortie/Gold,1
"Cream/Brown Tabby",1
Tortie/Tan,1
"Tortie/Blue Merle",1
"Gray Tabby/Tan",1
Black/Yellow,1
"Cream Tiger/Brown Tabby",1
"Blue Tabby/Tortie",1
"Blue Tiger/Black",1
"Brown/Brown Brindle",1
Black/Calico,1
"Brown Tiger/Black",1
Torbie/Blue,1
Silver/Gray,1
"Silver/Silver Tabby",1
White/Apricot,1
"Black Tabby/Black Smoke",1
Green,1
"Blue Tiger",1
Orange/Tricolor,1
"Brown Tabby/Liver",1
"Silver/Gray Tabby",1
Brown/Orange,1
Tricolor/Tortie,1
"Silver Tabby/Black",1
"Gray Tabby/Orange",1
"Brown Merle/Brown Tabby",1
Brown/Buff,1
"Black Smoke/Brown Tabby",1
"Lynx Point/Brown Tabby",1
"Chocolate Point/Cream",1
Yellow,1
Red/White,1
"Black Smoke/Black Tiger",1
"Seal Point/Gray",1
"Orange Tabby/Black",1
"Lynx Point/Gray Tabby",1
Agouti/Cream,1
"Orange Tabby/Tortie Point",1
Black/Tricolor,1
"Lynx Point/Blue",1
"Cream Tabby/Orange",1
"Black Tabby/Orange",1
Sable/White,1
"Black Tabby/Black",1
"Orange Tabby/Apricot",1
Torbie/Calico,1
"Brown Tabby/Black Tabby",1
"Calico Point/Lynx Point",1
Gray/Blue,1
"Lilac Point/Black",1
"Blue Tabby/Buff",1
"Blue Smoke/Gray",1
"Tortie/Blue Tabby",1
"Brown Tabby/Gold",1
"Gray Tabby/Brown Tabby",1
"Brown Tabby/Blue",1
"Blue Tabby/Orange",1
"Brown Tabby/Black Brindle",1
White/Agouti,1
Tan/Black,1
Gray/Tan,1
"Cream Tabby/Cream Tabby",1
"Blue Tabby/Tan",1
"Tan/Cream Tabby",1
"Black Tabby/Gray Tabby",1
"Brown/Black Tabby",1
"Blue Cream/Buff",1
"Brown Tabby/Lynx Point",1
"Black/Silver Tabby",1
"Cream Tabby/Orange Tabby",1
"Tortie Point/Cream",1
"Seal Point/Silver",1
"Black/Seal Point",1
"Blue Point/Lynx Point",1
"Red Tick",1
Ruddy,1
Agouti/Gold,1
Yellow/Black,1
"Tortie Point/Blue",1
Cream/Black,1
Cream/Tan,1
Fawn/Gray,1
Silver/White,1
Brown/Cream,1
"Brown/Seal Point",1
"Tortie Point/Seal Point",1
"Lynx Point/Blue Point",1
"Tan/Chocolate Point",1
"Orange Tabby/Tan",1
Orange/Cream,1
Sable,1
